"","Session","CT","NK","Period","SEQ_GRP","SEQ","NS","participant.id_in_session","participant.code","participant.label","participant._is_bot","participant._index_in_pages","participant._max_page_index","participant._current_app_name","participant._round_number","participant._current_page_name","participant.ip_address","participant.time_started","participant.visited","participant.mturk_worker_id","participant.mturk_assignment_id","participant.payoff","player.id_in_group","player.node_id","player.threshold","player.participate","player.user_name","player.avatar_id","player.round_payoff","player.subsession_id","player.group_id","player.payoff","group.id_in_subsession","group.network_id","group.subsession_id","subsession.round_number","session.code","session.label","session.experimenter_name","session.mturk_HITId","session.mturk_HITGroupId","session.comment","session.is_demo"
"40","S1","None","Local",3,"2",5,"Star",15,"fvpl2r35",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:34:01.880851+00:00",1,NA,NA,54,5,28165,3,0,"Hippo",8,50,1878,7523,0,2,5633,1878,3,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"41","S1","None","Local",3,"2",6,"Circle",2,"p1w7z0g2",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:37:00.579037+00:00",1,NA,NA,108,1,28166,1,1,"Cat",39,100,1878,7524,0,3,5634,1878,3,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"42","S1","None","Local",3,"2",6,"Circle",7,"qbeidbqm",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:35:57.985104+00:00",1,NA,NA,108,2,28167,3,0,"Bear",29,50,1878,7524,0,3,5634,1878,3,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"43","S1","None","Local",3,"2",6,"Circle",9,"spslywao",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:35:16.586734+00:00",1,NA,NA,114,3,28168,3,0,"Swan",31,50,1878,7524,0,3,5634,1878,3,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"44","S1","None","Local",3,"2",6,"Circle",12,"mku45qcl",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:34:40.091847+00:00",1,NA,NA,117,4,28169,3,0,"Wolf",18,50,1878,7524,0,3,5634,1878,3,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"45","S1","None","Local",3,"2",6,"Circle",14,"94eaoxt4",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:34:17.439358+00:00",1,NA,NA,102,5,28170,3,1,"Rat",9,0,1878,7524,0,3,5634,1878,3,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"46","S1","None","Local",4,"2",4,"Clique",3,"c7ugcwsf",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:37:41.091308+00:00",1,NA,NA,108,1,28171,1,1,"Squirrel",45,100,1879,7525,0,1,5635,1879,4,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"47","S1","None","Local",4,"2",4,"Clique",4,"7ae3beiy",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:36:38.828981+00:00",1,NA,NA,58,2,28172,3,0,"Lion",22,50,1879,7525,0,1,5635,1879,4,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"48","S1","None","Local",4,"2",4,"Clique",6,"cimne4tz",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:36:14.859023+00:00",1,NA,NA,103,3,28173,1,1,"Crab",35,100,1879,7525,0,1,5635,1879,4,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"49","S1","None","Local",4,"2",4,"Clique",10,"0vkh83e8",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:35:06.610682+00:00",1,NA,NA,58,4,28174,3,0,"Lobster",33,50,1879,7525,0,1,5635,1879,4,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"50","S1","None","Local",4,"2",4,"Clique",11,"e74egiuo",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:34:48.129488+00:00",1,NA,NA,56,5,28175,3,0,"Seal",48,50,1879,7525,0,1,5635,1879,4,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"51","S1","None","Local",4,"2",5,"Star",1,"dw8k5pwv",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:37:13.938215+00:00",1,NA,NA,58,1,28176,1,0,"Tiger",16,50,1879,7526,0,2,5636,1879,4,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"52","S1","None","Local",4,"2",5,"Star",5,"hyvqayls",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:36:26.567448+00:00",1,NA,NA,9,2,28177,3,1,"Frog",20,0,1879,7526,0,2,5636,1879,4,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
"53","S1","None","Local",4,"2",5,"Star",8,"29lmmbnh",NA,0,146,145,"survey_final",1,"Results","127.0.0.1","2018-08-21 16:35:30.829696+00:00",1,NA,NA,107,3,28178,1,1,"Pig",34,100,1879,7526,0,2,5636,1879,4,"hzopjb8y","ESSL Aug 21 10:30AM session 10 - 1A",NA,NA,NA,NA,0
